"Currency Name","Price","Change","Change %","Market Cap","Volume","Circulating Supply","Timestamp"
"Fasttoken USD","2.5542","-0.0057","-0.22%","778.646M","74.151M","304.85M","2024-10-13 13:14:27"
"Marinade Staked SOL USD","180.87","+1.04","+0.58%","774.602M","14.634M","4.283M","2024-10-13 13:14:27"
"Conflux USD","0.170051","-0.004096","-2.35%","769.994M","34.473M","4.528B","2024-10-13 13:14:28"
"USD Coin Bridged USD","0.999889","-0.000035","-0.00%","756.69M","37.164M","756.774M","2024-10-13 13:14:28"
"Gala USD","0.021581","-0.000180","-0.83%","754.451M","55.738M","34.959B","2024-10-13 13:14:28"
"USDD USD","0.999272","+0.000510","+0.05%","748.641M","2.667M","749.187M","2024-10-13 13:14:28"
"Beam USD","0.015113","-0.000660","-4.18%","747.557M","13.175M","49.466B","2024-10-13 13:14:28"
"ORDI USD","35.27","-0.48","-1.35%","740.688M","88.334M","21M","2024-10-13 13:14:28"
"Cheelee USD","12.93","-0.02","-0.16%","734.124M","5.552M","56.798M","2024-10-13 13:14:28"
"Neo USD","10.40","-0.22","-2.06%","733.26M","28.454M","70.539M","2024-10-13 13:14:28"
"MultiversX USD","26.69","-0.94","-3.41%","731.718M","15.759M","27.413M","2024-10-13 13:14:28"
"Flare USD","0.014518","-0.000341","-2.29%","729.787M","3.39M","50.267B","2024-10-13 13:14:28"
"EOS USD","0.472775","-0.005892","-1.23%","718.922M","45.405M","1.521B","2024-10-13 13:14:28"
"Axie Infinity USD","4.6713","-0.0991","-2.08%","711.141M","28.633M","152.237M","2024-10-13 13:14:28"
"Mog Coin USD","0.00000182","+0.00000001","+0.47%","710.692M","26.239M","390.568T","2024-10-13 13:14:28"
"Tezos USD","0.690640","-0.008258","-1.18%","695.025M","12.907M","1.006B","2024-10-13 13:14:28"
"Chiliz USD","0.075405","+0.006689","+9.73%","687.835M","218.777M","9.122B","2024-10-13 13:14:28"
"Nervos Network USD","0.015051","-0.000564","-3.61%","678.414M","26.677M","45.075B","2024-10-13 13:14:28"
"EigenLayer USD","3.6415","-0.2329","-6.01%","679.443M","137.301M","186.582M","2024-10-13 13:14:28"
"FTX Token USD","2.0612","-0.0630","-2.96%","677.92M","28.255M","328.895M","2024-10-13 13:14:28"
"eCash USD","0.000034","-0.000001","-2.79%","678.585M","7.504M","19.77T","2024-10-13 13:14:28"
"PayPal USD USD","0.999602","-0.000236","-0.02%","673.649M","11.683M","673.917M","2024-10-13 13:14:28"
"Mina USD","0.571302","+0.035211","+6.57%","667.725M","117.611M","1.169B","2024-10-13 13:14:29"
"Tether Gold USD","2,658.17","-0.00","-0.00%","655.303M","3.896M","246,524","2024-10-13 13:14:29"
"Frax USD","0.996976","-0.000140","-0.01%","647.47M","4.595M","649.433M","2024-10-13 13:14:29"
"Pendle USD","3.9881","-0.0847","-2.08%","641.325M","54.333M","160.811M","2024-10-13 13:14:29"
"Axelar USD","0.784993","-0.063309","-7.46%","636.449M","58.886M","810.77M","2024-10-13 13:14:29"
"The Sandbox USD","0.264216","-0.002098","-0.79%","631.273M","31.702M","2.389B","2024-10-13 13:14:29"
"SuperVerse USD","1.2705","+0.0722","+6.03%","619.963M","42.251M","487.976M","2024-10-13 13:14:29"
"cat in a dogs world USD","0.006945","+0.000145","+2.13%","617.349M","106.891M","88.889B","2024-10-13 13:14:29"
"Akash Network USD","2.4594","-0.0891","-3.50%","610.639M","9.652M","248.286M","2024-10-13 13:14:29"
"Kelp DAO Restaked ETH USD","2,529.78","+14.48","+0.58%","601.473M","860,657","237,756","2024-10-13 13:14:29"
"dYdX (Native) USD","0.918725","-0.006821","-0.74%","591.596M","14.144M","643.932M","2024-10-13 13:14:29"
"SATS USD","0.000280","-0.000008","-2.68%","588.565M","42.57M","2.1T","2024-10-13 13:14:29"
"Zcash USD","35.07","-0.68","-1.90%","572.614M","80.316M","16.328M","2024-10-13 13:14:29"
"Eigenpie mstETH USD","2,521.57","+30.47","+1.22%","565.092M","21,113","224,103","2024-10-13 13:14:29"
"Turbo USD","0.008726","+0.001345","+18.22%","562.719M","269.321M","64.49B","2024-10-13 13:14:29"
"Decentraland USD","0.295689","-0.004985","-1.66%","564.269M","19.515M","1.908B","2024-10-13 13:14:29"
"Ethereum Name Service USD","16.95","-0.38","-2.20%","561.963M","32.719M","33.158M","2024-10-13 13:14:29"
"Ronin USD","1.5869","-0.0055","-0.34%","559.057M","6.721M","352.305M","2024-10-13 13:14:29"
"Nexo USD","0.992732","-0.002734","-0.27%","555.93M","2.287M","560M","2024-10-13 13:14:29"
"BOOK OF MEME USD","0.007712","+0.000409","+5.59%","531.834M","278.996M","68.959B","2024-10-13 13:14:29"
"Dog (Runes) USD","0.005299","-0.000305","-5.45%","529.925M","10.643M","100B","2024-10-13 13:14:30"
"PAX Gold USD","2,666.47","+3.00","+0.11%","516.087M","3.719M","193,546","2024-10-13 13:14:30"
"PancakeSwap USD","1.8310","-0.0454","-2.42%","512.074M","15.567M","279.662M","2024-10-13 13:14:30"
"Oasis USD","0.071318","-0.002021","-2.76%","503.798M","25.258M","7.064B","2024-10-13 13:14:30"
"Terra Classic USD","0.000088","-0.000001","-1.64%","502.996M","10.476M","5.711T","2024-10-13 13:14:30"
"Coinbase Wrapped Staked ETH USD","2,664.34","+9.70","+0.37%","499.382M","592,062","187,431","2024-10-13 13:14:30"
"Beldex USD","0.074807","-0.002909","-3.74%","499.754M","12.325M","6.681B","2024-10-13 13:14:30"
"AIOZ Network USD","0.441864","-0.017427","-3.79%","498.7M","2.833M","1.129B","2024-10-13 13:14:30"
"TrueUSD USD","0.997434","+0.000133","+0.01%","494.33M","29.487M","495.602M","2024-10-13 13:14:30"
"Klaytn USD","0.128032","-0.001084","-0.84%","486.991M","10.136M","3.804B","2024-10-13 13:14:30"
"Baby Doge Coin USD","0.00000000","+0.00000000","+5.90%","484.39M","59.763M","154,025.31T","2024-10-13 13:14:30"
"DeXe USD","8.4708","-0.0366","-0.43%","483.71M","2.204M","57.103M","2024-10-13 13:14:30"
"Blur USD","0.248155","+0.014288","+6.11%","480.364M","91.262M","1.936B","2024-10-13 13:14:30"
